id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
318,Yvon Breton,Laval
319,Nicole Demers,Laval
320,Jocelyne Leduc,Laval
321,Robert Malo,Laval
322,Eva Nassif,Laval
323,José Nunez-Melo,Laval
324,Stéphane Bakhos,Laval--Les Îles
325,Zaki Ghavitian,Laval--Les Îles
326,Mohamedali Jetha,Laval--Les Îles
327,Karine Joizil,Laval--Les Îles
328,Brent Neil,Laval--Les Îles
329,François Pilon,Laval--Les Îles
330,Polyvios Tsakanikas,Laval--Les Îles
331,Steven Blaney,Lévis--Bellechasse
332,Sacha Dougé,Lévis--Bellechasse
333,Danielle-Maude Gosselin,Lévis--Bellechasse
334,Francis Laforesterie,Lévis--Bellechasse
335,Nicole Laliberté,Lévis--Bellechasse
336,Richard Bélisle,Longueuil--Pierre-Boucher
337,Jean Dorion,Longueuil--Pierre-Boucher
338,Kévan Falsafi,Longueuil--Pierre-Boucher
339,Pierre Nantel,Longueuil--Pierre-Boucher
340,Serge Patenaude,Longueuil--Pierre-Boucher
341,Valérie St-Amant,Longueuil--Pierre-Boucher
342,Richard Domm,Lotbinière--Chutes-de-la-Chaudière
343,Tanya Fredette,Lotbinière--Chutes-de-la-Chaudière
344,Gaston Gourde,Lotbinière--Chutes-de-la-Chaudière
345,Jacques Gourde,Lotbinière--Chutes-de-la-Chaudière
346,Nicole Larouche,Lotbinière--Chutes-de-la-Chaudière
347,Jean Beaupré,Louis-Hébert
348,Denis Blanchette,Louis-Hébert
349,Marie-Claude Bouffard,Louis-Hébert
350,Michelle Fontaine,Louis-Hébert
351,Pascal-Pierre Paillé,Louis-Hébert
352,Pierre Paul-Hus,Louis-Hébert
353,Daniel Arseneault,Louis-Saint-Laurent
354,Jean Cloutier,Louis-Saint-Laurent
355,France Gagné,Louis-Saint-Laurent
356,Alexandrine Latendresse,Louis-Saint-Laurent
357,Philippe Mérel,Louis-Saint-Laurent
358,Josée Verner,Louis-Saint-Laurent
359,Gérard Asselin,Manicouagan
360,Gordon Ferguson,Manicouagan
361,André Forbes,Manicouagan
362,Jacques Gélineau,Manicouagan
363,Jonathan Genest-Jourdain,Manicouagan
364,Eduardo Gonzalo Agurto Catalán,Marc-Aurèle-Fortin
365,Marie-France Charbonneau,Marc-Aurèle-Fortin
366,Alain Giguère,Marc-Aurèle-Fortin
367,Charles Sicotte,Marc-Aurèle-Fortin
368,Johanne Théorêt,Marc-Aurèle-Fortin
369,Joanie Boulet,Haute-Gaspésie--La Mitis--Matane--Matapédia
370,Nancy Charest,Haute-Gaspésie--La Mitis--Matane--Matapédia
371,Allen Cormier,Haute-Gaspésie--La Mitis--Matane--Matapédia
372,Louis Drainville,Haute-Gaspésie--La Mitis--Matane--Matapédia
373,Jean-François Fortin,Haute-Gaspésie--La Mitis--Matane--Matapédia
374,Alain Bergeron,Mégantic--L'Érable
375,Christian Paradis,Mégantic--L'Érable
376,René Roy,Mégantic--L'Érable
377,Wyatt Tessari,Mégantic--L'Érable
378,Pierre Turcotte,Mégantic--L'Érable
379,Cheryl Voisine,Mégantic--L'Érable
380,Yves Dufour,Montcalm
381,Jason Fuoco,Montcalm
382,Roger Gaudet,Montcalm
383,Marianne Girard,Montcalm
384,Manon Perreault,Montcalm
385,Irwin Cotler,Mount Royal
386,Gabriel Dumais,Mount Royal
387,Jeff Itcush,Mount Royal
388,Diane Johnston,Mount Royal
389,Brian Sarwer-Foner,Mount Royal
390,abraham Weizfeld,Mount Royal
391,Saulie Zajdel,Mount Royal
392,Matthew Conway,Notre-Dame-de-Grâce--Lachine
393,Jessica Gal,Notre-Dame-de-Grâce--Lachine
394,Rachel Hoffman,Notre-Dame-de-Grâce--Lachine
395,Marlene Jennings,Notre-Dame-de-Grâce--Lachine
396,Gabrielle Ladouceur-Despins,Notre-Dame-de-Grâce--Lachine
397,David Andrew Lovett,Notre-Dame-de-Grâce--Lachine
398,Isabelle Morin,Notre-Dame-de-Grâce--Lachine
399,Léandre Gervais,Abitibi--Baie-James--Nunavik--Eeyou
400,Johnny Kasudluak,Abitibi--Baie-James--Nunavik--Eeyou
401,Yvon Lévesque,Abitibi--Baie-James--Nunavik--Eeyou
402,Jean-Maurice Matte,Abitibi--Baie-James--Nunavik--Eeyou
403,Romeo Saganash,Abitibi--Baie-James--Nunavik--Eeyou
404,Johan Boyden,Outremont
405,Martin Cauchon,Outremont
406,Élise Daoust,Outremont
407,Tommy Gaudet,Outremont
408,Rodolphe Husny,Outremont
409,Thomas Mulcair,Outremont
410,Francois Pilon,Outremont
411,Vivian Barbot,Papineau
412,Shama Chopra,Papineau
413,Peter Macrisopoulos,Papineau
414,Danny Polifroni,Papineau
415,Marcos Radhames Tejada,Papineau
416,Justin Trudeau,Papineau
417,Joseph Young,Papineau
418,Lysane Blanchette-Lamothe,Pierrefonds--Dollard
419,Agop Evereklian,Pierrefonds--Dollard
420,Nicolas Jolicoeur,Pierrefonds--Dollard
421,Jonathan Lumer,Pierrefonds--Dollard
422,Bernard Patry,Pierrefonds--Dollard
423,Lawrence Cannon,Pontiac
424,Cindy Duncan McMillan,Pontiac
425,Benoit Legros,Pontiac
426,Louis-Philippe Mayrand,Pontiac
427,Mathieu Ravignat,Pontiac
428,Maude Tremblay,Pontiac
429,André Arthur,Portneuf--Jacques-Cartier
430,Richard Côté,Portneuf--Jacques-Cartier
431,Claudine Delorme,Portneuf--Jacques-Cartier
